team,ts_perf_start,ts_perf_end
Kim / Kam,00:13:03,00:15:50
Alexandrovskaya / Windsor,00:19:23,00:22:12
Suzaki / Kihara,00:25:54,00:28:44
Conners / Krasnopolski,00:40:20,00:43:10
Ziegler / Kiefer,00:46:50,00:49:41
Duskova / Bidar,00:53:15,00:56:04
Astakhova / Rogonov,01:09:25,01:12:17
Hocke / Blommaert,01:15:59,01:18:48
Peng / Jin,01:22:20,01:25:09
Ryom / Kim,01:28:50,01:31:38
Moore-Towers / Marinaro,01:43:15,01:46:04
Yu / Zhang,01:49:44,01:52:35
Knierim / Knierim,01:56:23,01:59:17
S̩guin / Bilodeau,02:02:56,02:05:40
James / Cipres,02:19:00,02:21:55
Della Monica / Guarise,02:25:35,02:28:28
Sui / Han,02:32:01,02:34:50
Marchei / Hotarek,02:38:31,02:41:23
Duhamel / Radford,02:53:01,02:55:50
Zabiiako / Enbert,02:59:28,03:02:16
Savchenko / Massot,03:05:58,03:08:47
Tarasova / Morozov,03:12:21,03:15:10